"disease","disease_disbiome_author_svd64_000","disease_disbiome_author_svd64_001","disease_disbiome_author_svd64_002","disease_disbiome_author_svd64_003","disease_disbiome_author_svd64_004","disease_disbiome_author_svd64_005","disease_disbiome_author_svd64_006","disease_disbiome_author_svd64_007","disease_disbiome_author_svd64_008","disease_disbiome_author_svd64_009","disease_disbiome_author_svd64_010","disease_disbiome_author_svd64_011","disease_disbiome_author_svd64_012","disease_disbiome_author_svd64_013","disease_disbiome_author_svd64_014","disease_disbiome_author_svd64_015","disease_disbiome_author_svd64_016","disease_disbiome_author_svd64_017","disease_disbiome_author_svd64_018","disease_disbiome_author_svd64_019","disease_disbiome_author_svd64_020","disease_disbiome_author_svd64_021","disease_disbiome_author_svd64_022","disease_disbiome_author_svd64_023","disease_disbiome_author_svd64_024","disease_disbiome_author_svd64_025","disease_disbiome_author_svd64_026","disease_disbiome_author_svd64_027","disease_disbiome_author_svd64_028","disease_disbiome_author_svd64_029","disease_disbiome_author_svd64_030","disease_disbiome_author_svd64_031","disease_disbiome_author_svd64_032","disease_disbiome_author_svd64_033","disease_disbiome_author_svd64_034","disease_disbiome_author_svd64_035","disease_disbiome_author_svd64_036","disease_disbiome_author_svd64_037","disease_disbiome_author_svd64_038","disease_disbiome_author_svd64_039","disease_disbiome_author_svd64_040","disease_disbiome_author_svd64_041","disease_disbiome_author_svd64_042","disease_disbiome_author_svd64_043","disease_disbiome_author_svd64_044","disease_disbiome_author_svd64_045","disease_disbiome_author_svd64_046","disease_disbiome_author_svd64_047","disease_disbiome_author_svd64_048","disease_disbiome_author_svd64_049","disease_disbiome_author_svd64_050","disease_disbiome_author_svd64_051","disease_disbiome_author_svd64_052","disease_disbiome_author_svd64_053","disease_disbiome_author_svd64_054","disease_disbiome_author_svd64_055","disease_disbiome_author_svd64_056","disease_disbiome_author_svd64_057","disease_disbiome_author_svd64_058","disease_disbiome_author_svd64_059","disease_disbiome_author_svd64_060","disease_disbiome_author_svd64_061","disease_disbiome_author_svd64_062","disease_disbiome_author_svd64_063"
"Crohn's disease(CD)","-0.8610144","-0.06204689","-0.022810645","0.0020611463","-0.0009565658","-0.00045902724","-0.018918822","-0.025630439","-0.0039312975","-0.018969087","-0.016530914","-0.035641547","-0.007943889","-0.0072050034","-0.013963499","-0.020377705","-0.010373334","-0.010835765","-0.016133092","-0.011339596","-0.011538723","-0.0045860168","-0.023036573","-0.014183245","-0.003153893","0.010902799","-0.006406742","-0.01712594","0.0009230043","-0.0017532083","-0.014034494","-0.0038970762","-0.009691642","0.00065829273","0.0020159772","-0.0066735","-0.0004295523","-0.0039763018","0.0055414047","0.0031142994","0.00020551936","-0.0045593185","0.00019011392","-0.0040777926","-0.0021466732","-0.0045848354","0.0016202849","-0.003749743","0.0003040471","-0.0030011972","0.00045753678","0.0034179133","-0.00023160408","-8.856923e-05","0.0009927604","-0.00262229","-0.0008311592","-0.0019204128","0.001693831","-0.0009724535","-0.0026840903","-0.0013402244","-0.0023038934","-0.000955738"
"Crohns disease","-0.8610144","-0.06204689","-0.022810645","0.0020611463","-0.0009565658","-0.00045902724","-0.018918822","-0.025630439","-0.0039312975","-0.018969087","-0.016530914","-0.035641547","-0.007943889","-0.0072050034","-0.013963499","-0.020377705","-0.010373334","-0.010835765","-0.016133092","-0.011339596","-0.011538723","-0.0045860168","-0.023036573","-0.014183245","-0.003153893","0.010902799","-0.006406742","-0.01712594","0.0009230043","-0.0017532083","-0.014034494","-0.0038970762","-0.009691642","0.00065829273","0.0020159772","-0.0066735","-0.0004295523","-0.0039763018","0.0055414047","0.0031142994","0.00020551936","-0.0045593185","0.00019011392","-0.0040777926","-0.0021466732","-0.0045848354","0.0016202849","-0.003749743","0.0003040471","-0.0030011972","0.00045753678","0.0034179133","-0.00023160408","-8.856923e-05","0.0009927604","-0.00262229","-0.0008311592","-0.0019204128","0.001693831","-0.0009724535","-0.0026840903","-0.0013402244","-0.0023038934","-0.000955738"
"Cutaneous burn","1.2795336","-0.19102299","-0.03978985","0.043079715","-0.028151033","-0.0022221338","-0.08261448","-0.041610304","-0.032753553","-0.13221768","-0.027985431","-0.03370064","0.004214551","-0.14601515","-0.006591479","0.0779132","-0.06470083","-0.3204118","-0.67998403","-0.0793472","-0.2794558","0.09192793","0.07627787","-0.9695818","-0.36684898","-0.78000426","-0.7449515","0.7777602","1.4367794","-0.034143195","-1.5520664","-0.16271195","0.6203109","0.86801213","-0.99034315","-1.6235458","0.9756522","0.38856757","-0.23871936","-0.305654","0.42263374","-1.7623256","-0.64326507","2.9415352","-0.42857918","1.7330315","0.5740941","-3.1987796","2.191195","1.3446789","-0.8611925","3.4709296","0.4994155","0.3899214","1.2931151","-1.8040923","2.6358137","-0.6460746","-2.7111318","2.0035357","-0.63436157","-0.29458648","-2.045514","0.054490864"
"Cystic Fibrosis","-0.032580826","1.3820652","0.55897796","-0.04969626","0.060010366","0.04901285","0.8346754","1.3091943","0.477647","4.5785704","27.819435","-1.4422227","-1.0699644","-0.5048245","-0.22015962","-1.4583226","-0.038303796","-0.23593658","-0.45835873","-0.2359648","-0.3324033","-0.54220396","-0.3879425","0.05919261","-0.07136262","0.050324198","0.1924092","0.31194916","-0.12352208","-0.13959987","0.09406382","-0.14102006","-0.054853637","-0.22817512","0.091471374","-0.15932144","-0.06795516","0.18375808","0.041665558","-0.0017752636","-0.118963756","-0.014150458","-0.13306794","-0.058886535","0.026470304","0.01774421","0.0028852257","0.028409582","-0.022856379","0.014508176","0.00927296","0.00054609374","-0.074353814","0.0084091285","0.08280732","-0.08477951","0.06381738","-0.00030716794","0.057280015","-0.017566122","0.019879343","0.005375799","-0.021620978","-0.016555283"
"Cystic echinococcosis","-0.8610144","-0.06204689","-0.022810645","0.0020611463","-0.0009565658","-0.00045902724","-0.018918822","-0.025630439","-0.0039312975","-0.018969087","-0.016530914","-0.035641547","-0.007943889","-0.0072050034","-0.013963499","-0.020377705","-0.010373334","-0.010835765","-0.016133092","-0.011339596","-0.011538723","-0.0045860168","-0.023036573","-0.014183245","-0.003153893","0.010902799","-0.006406742","-0.01712594","0.0009230043","-0.0017532083","-0.014034494","-0.0038970762","-0.009691642","0.00065829273","0.0020159772","-0.0066735","-0.0004295523","-0.0039763018","0.0055414047","0.0031142994","0.00020551936","-0.0045593185","0.00019011392","-0.0040777926","-0.0021466732","-0.0045848354","0.0016202849","-0.003749743","0.0003040471","-0.0030011972","0.00045753678","0.0034179133","-0.00023160408","-8.856923e-05","0.0009927604","-0.00262229","-0.0008311592","-0.0019204128","0.001693831","-0.0009724535","-0.0026840903","-0.0013402244","-0.0023038934","-0.000955738"
"Cystic fibrosis","-0.8610144","-0.06204689","-0.022810645","0.0020611463","-0.0009565658","-0.00045902724","-0.018918822","-0.025630439","-0.0039312975","-0.018969087","-0.016530914","-0.035641547","-0.007943889","-0.0072050034","-0.013963499","-0.020377705","-0.010373334","-0.010835765","-0.016133092","-0.011339596","-0.011538723","-0.0045860168","-0.023036573","-0.014183245","-0.003153893","0.010902799","-0.006406742","-0.01712594","0.0009230043","-0.0017532083","-0.014034494","-0.0038970762","-0.009691642","0.00065829273","0.0020159772","-0.0066735","-0.0004295523","-0.0039763018","0.0055414047","0.0031142994","0.00020551936","-0.0045593185","0.00019011392","-0.0040777926","-0.0021466732","-0.0045848354","0.0016202849","-0.003749743","0.0003040471","-0.0030011972","0.00045753678","0.0034179133","-0.00023160408","-8.856923e-05","0.0009927604","-0.00262229","-0.0008311592","-0.0019204128","0.001693831","-0.0009724535","-0.0026840903","-0.0013402244","-0.0023038934","-0.000955738"
"Cystic fibrosis exacerbation","1.3319539","-0.24136077","-0.049898796","0.030015321","-0.026749296","0.0030749317","-0.05116227","-0.038783178","-0.08125997","-0.05682911","0.23937526","-0.21891704","-0.04471143","-0.22582775","0.08599494","0.127503","-0.3298385","-0.2658895","-0.22044905","-0.4003145","0.54382414","-0.44127426","-0.99742573","1.111688","2.4874103","1.6865317","0.90735286","-1.3122414","1.1550835","1.6284086","0.682114","0.80789244","0.74304587","-0.2532033","-1.6334654","0.75954986","2.080611","-2.042121","1.967446","-0.33508202","1.3236963","1.1675571","0.2536836","0.20889384","-0.7872417","-0.8166172","1.8816998","1.6024739","1.9039851","1.3284149","-1.0018997","0.30466732","0.13849217","-0.64438176","0.68509084","0.753439","-0.8334195","-1.5838264","1.2714853","1.7216489","-0.9880175","-2.5327613","-0.55560696","-0.6433205"
"Cytolytic vaginosis","1.3523614","-0.17276569","-0.07471747","0.0058940114","0.03568846","0.013294567","-0.101876095","-0.13563278","0.020692756","-0.11020801","-0.13414423","-0.2223397","-0.0693715","-0.0016655602","-0.024522427","-0.2579586","0.040834814","-0.09523201","-0.43762726","-0.51082027","-0.8677564","0.2541479","-0.15272392","-0.22402911","0.515779","1.2048163","-0.4168541","-0.16593795","-1.0650905","-0.7723761","-0.36191642","-0.1903088","-2.8471186","0.7576884","-0.077644534","1.7129201","-3.526291","-0.90251","1.8071468","-0.37063867","-1.4723307","-1.0333582","-0.125224","1.9771595","-0.6590164","-0.8306609","-1.3884869","-0.41494223","-0.4880572","0.6691613","-0.7175612","-1.0795078","-1.1084272","0.609955","-0.7539321","-2.338843","1.7337892","-0.662066","-0.34640905","-0.18415545","0.86260056","-0.796241","2.3641908","-1.61539"
"Dandruff","0.988672","-0.38128138","-0.10209363","0.036808852","0.0003852006","-0.011995792","-0.09586537","-0.12393205","-0.09420914","-0.19029136","-0.113023356","-0.0553359","-0.06420893","-0.07484547","-0.22151853","-0.2616268","0.011858601","-0.35289016","-0.49625805","0.08663691","-0.93171865","-1.3252083","-0.8900854","-0.9363836","-0.048727773","1.6536888","-0.249246","-1.682633","0.117078386","-0.24315323","2.7107968","1.8717968","0.7162983","1.8825072","-0.54972357","-0.91047657","1.3107725","2.5594978","-1.6170297","0.35155562","-0.9588925","-0.15629376","2.0389316","0.005935239","-1.4206251","-0.2141806","-2.5556495","0.39661315","0.65496707","-0.17928347","0.39201057","-2.6520255","-1.5875359","1.5910444","-1.9432856","0.4474047","-0.5733231","0.5876144","1.0283225","-1.812858","-0.6237192","-1.0471075","0.40632322","-0.021578021"
"Denture Stomatitis","1.2918721","-0.1878093","-0.0063675162","-0.016615828","0.000750521","-0.004473553","-0.026947506","0.2959924","0.07169469","-0.15856688","-0.07903545","-0.1420558","-0.07320111","0.02248166","-0.17803474","0.10144692","0.2501387","0.23564458","-0.62239885","-0.28078845","0.56286657","-1.5063854","-1.360623","-2.0055223","1.8501275","-1.9786884","0.8892137","-0.7085694","-0.57323754","0.07383396","0.40411434","0.41156664","-0.31104773","0.16102335","2.684431","-0.062066574","2.0506632","1.3934215","-0.04075464","0.94646055","-0.685057","-0.29393432","-1.7577649","3.6573997","0.03525036","2.0474567","0.63706166","-0.5696677","2.4006464","-0.408718","4.072536","-0.19911322","0.4801076","1.7893078","-0.3695206","-1.890322","-0.41376728","-0.31978175","-2.8601115","-4.023466","-1.6482515","-0.06590102","0.3959024","-0.5934088"
"Depression","-0.8610144","-0.06204689","-0.022810645","0.0020611463","-0.0009565658","-0.00045902724","-0.018918822","-0.025630439","-0.0039312975","-0.018969087","-0.016530914","-0.035641547","-0.007943889","-0.0072050034","-0.013963499","-0.020377705","-0.010373334","-0.010835765","-0.016133092","-0.011339596","-0.011538723","-0.0045860168","-0.023036573","-0.014183245","-0.003153893","0.010902799","-0.006406742","-0.01712594","0.0009230043","-0.0017532083","-0.014034494","-0.0038970762","-0.009691642","0.00065829273","0.0020159772","-0.0066735","-0.0004295523","-0.0039763018","0.0055414047","0.0031142994","0.00020551936","-0.0045593185","0.00019011392","-0.0040777926","-0.0021466732","-0.0045848354","0.0016202849","-0.003749743","0.0003040471","-0.0030011972","0.00045753678","0.0034179133","-0.00023160408","-8.856923e-05","0.0009927604","-0.00262229","-0.0008311592","-0.0019204128","0.001693831","-0.0009724535","-0.0026840903","-0.0013402244","-0.0023038934","-0.000955738"
"Diabetes mellitus type 2","-0.8610144","-0.06204689","-0.022810645","0.0020611463","-0.0009565658","-0.00045902724","-0.018918822","-0.025630439","-0.0039312975","-0.018969087","-0.016530914","-0.035641547","-0.007943889","-0.0072050034","-0.013963499","-0.020377705","-0.010373334","-0.010835765","-0.016133092","-0.011339596","-0.011538723","-0.0045860168","-0.023036573","-0.014183245","-0.003153893","0.010902799","-0.006406742","-0.01712594","0.0009230043","-0.0017532083","-0.014034494","-0.0038970762","-0.009691642","0.00065829273","0.0020159772","-0.0066735","-0.0004295523","-0.0039763018","0.0055414047","0.0031142994","0.00020551936","-0.0045593185","0.00019011392","-0.0040777926","-0.0021466732","-0.0045848354","0.0016202849","-0.003749743","0.0003040471","-0.0030011972","0.00045753678","0.0034179133","-0.00023160408","-8.856923e-05","0.0009927604","-0.00262229","-0.0008311592","-0.0019204128","0.001693831","-0.0009724535","-0.0026840903","-0.0013402244","-0.0023038934","-0.000955738"
"Diabetic nephropathy","1.3361793","-0.19251612","0.06665191","-0.11030564","-0.055761524","0.06752322","-0.10784212","-0.06645638","-0.025180085","-0.1344971","-0.058022268","-0.18958297","0.003164775","-0.08148757","0.035157796","0.09855422","-0.1359696","0.05917265","0.11323572","-0.7828614","0.5681128","0.12570429","-0.37598363","-1.706379","0.13124317","2.463586","0.073513076","0.5832633","1.9960192","0.11218449","-0.0754918","1.138562","-1.1487851","-0.4854771","1.1022493","1.4062876","-1.6148889","-0.39769998","0.13600972","1.7305226","-0.75315124","-1.784756","-1.7623641","2.1344602","0.22842251","1.56558","-0.5690313","2.3177335","0.18931572","-0.70138866","0.3095104","-2.3619304","2.213844","-2.557272","-0.8142743","-0.36406988","1.8069752","-0.14222056","-1.5985438","-0.30611515","-2.242144","0.07402376","-0.61191255","1.031169"
"Diaper dermatitis","1.2945751","-0.19511588","-0.07072093","-0.00022337204","0.0121207535","-0.00834878","-0.09861191","-0.08615875","-0.05890049","-0.059682354","0.024634186","-0.037552506","0.06866273","-0.010843359","0.041548286","-0.12134143","0.1568313","-0.19634242","-0.10776098","-0.16563174","-1.5443468","1.1924012","-0.48380274","-0.7241416","-1.2123079","-0.314331","-0.041336417","-1.0178908","-0.2212906","-2.451719","1.5371643","-0.7915271","0.23179999","0.9690255","1.9428046","-1.3048735","-0.98102784","2.033232","-1.133505","1.7053607","-0.25088158","1.668158","-1.4137052","1.4273256","-2.6029148","0.4328649","0.3889922","0.7143425","2.1867912","-0.49234095","3.6369922","0.1411921","-0.50346875","-2.188199","1.8773955","2.6077962","-1.7631054","1.9188021","0.5612938","-3.1453955","-1.5283626","-2.091681","1.6763155","-1.7541822"
"Diarrhea","1.0988635","-0.39672327","-0.10130923","-0.035114378","0.0072109145","-0.11404661","-0.12702134","-0.15448391","0.0010616789","-0.19099991","-0.098770425","-0.2635502","-0.024370106","-0.35777885","0.022397947","-0.43573788","-0.3600364","-0.21844904","-0.6341519","-0.5252133","-0.6688238","-1.400464","-0.75665873","0.9540196","1.4143336","-0.24127857","-0.87443537","1.8058153","-0.40765083","-0.94328165","2.1366317","-1.321878","2.2504194","1.3749137","-1.1408123","-0.9611345","-1.8005012","1.6936115","2.0802524","-2.9210649","-0.71784127","-0.7981054","0.07267865","0.5155444","2.5656648","-1.1346254","0.95223296","0.7834563","-0.050961435","3.3211882","-1.1111647","1.8960273","0.34715766","0.3639687","0.502931","-2.0404599","-1.7979457","-3.0875957","-3.4969583","-2.1189566","2.737442","-0.9148078","-1.2076886","-2.1783788"
"Diarrhea Irritable bowel syndrome(IBS)","-0.8610144","-0.06204689","-0.022810645","0.0020611463","-0.0009565658","-0.00045902724","-0.018918822","-0.025630439","-0.0039312975","-0.018969087","-0.016530914","-0.035641547","-0.007943889","-0.0072050034","-0.013963499","-0.020377705","-0.010373334","-0.010835765","-0.016133092","-0.011339596","-0.011538723","-0.0045860168","-0.023036573","-0.014183245","-0.003153893","0.010902799","-0.006406742","-0.01712594","0.0009230043","-0.0017532083","-0.014034494","-0.0038970762","-0.009691642","0.00065829273","0.0020159772","-0.0066735","-0.0004295523","-0.0039763018","0.0055414047","0.0031142994","0.00020551936","-0.0045593185","0.00019011392","-0.0040777926","-0.0021466732","-0.0045848354","0.0016202849","-0.003749743","0.0003040471","-0.0030011972","0.00045753678","0.0034179133","-0.00023160408","-8.856923e-05","0.0009927604","-0.00262229","-0.0008311592","-0.0019204128","0.001693831","-0.0009724535","-0.0026840903","-0.0013402244","-0.0023038934","-0.000955738"
"Disease-free ","1.016561","-0.35365304","-0.11817997","0.023144457","0.0062665995","-0.025163414","-0.10922155","-0.21965826","-0.08040159","-0.14675215","-0.091258734","-0.2653071","-0.08180677","-0.64586836","-0.40187588","-0.3729792","-0.26006877","-0.3131298","-1.4166682","0.54139906","-0.3659131","-0.6627852","-0.03979684","-0.50316226","1.2810274","-1.1278943","-1.3050231","3.6003444","-0.28734702","-0.79465306","-1.3203404","1.1579499","0.74603033","0.1922245","-2.1933963","1.2842493","-3.6747134","0.65228367","0.8477072","-0.019493965","-0.16220869","1.0030077","0.86914325","2.0224433","0.9244959","-2.5102146","3.3667707","3.0529623","3.7336648","-1.8442107","-2.3231","-1.6782446","1.9302069","-0.6917481","-0.3175214","-2.2558796","2.1311243","0.069129825","-3.0959957","-0.6233206","-0.080296844","-0.5832933","-0.92040414","-2.2181058"
"Diverticular disease","1.0543495","-0.19606611","-0.22560467","0.008927668","-0.020127878","0.0034365822","-0.06002097","-0.22416592","-0.11815794","-0.19391024","-0.18920216","-0.2189012","-0.033660546","-0.12499194","0.19084617","-0.3227321","-0.028976735","-0.51639634","0.0017299891","-0.6860215","-1.4589485","-0.74217445","-0.62651914","0.97972584","-2.0972075","-0.9306448","0.724602","3.305471","-0.3835348","-1.5642129","-0.33666506","0.46059042","1.0114084","-1.4103297","-0.88962984","0.3331859","-0.34646842","0.97528064","-0.7163124","1.1478962","2.399953","-0.65783316","1.3007035","2.2029872","-2.1696486","2.2261574","-0.90204006","-1.3450449","0.30595803","-1.4836752","0.4409354","-1.5758523","0.82995886","-0.9952674","0.104789205","-1.3354268","-1.307959","-3.734453","0.30884337","-0.85617876","5.743962","-0.8274041","-0.6928953","0.61983883"
"Down syndrome","1.3314903","-0.0401038","-0.1559298","0.026048388","0.04713818","0.0015146332","0.030525973","-0.08621801","-0.034978162","0.0083344495","-0.09776051","-0.13400662","-0.055928454","0.07095199","-0.015848447","-0.22178537","-0.11432141","-0.30194312","0.20422632","0.1487633","-0.70761615","-0.58685106","0.05173978","1.5987054","-2.9849324","0.6192395","0.89064914","0.71680236","0.87459236","0.29144043","1.9075958","-1.3630353","-0.16104709","-1.3141276","2.079094","-1.4321948","0.88864225","-2.7251585","-0.103928775","-0.4082589","-2.2260444","1.4199433","2.7753494","-1.7722603","-1.4095294","1.6221759","3.409316","-1.2728596","0.18521878","1.0796881","0.35501","2.421456","-0.9982288","-0.22481924","-1.4701077","0.79567164","0.048767194","-1.1910554","0.03531906","-0.8744953","-1.4022554","0.51576453","1.7820406","2.8130736"
"Drug-resistant Epilepsy","1.0571562","-0.3490454","-0.045809843","0.17539264","-0.0021491176","-0.011312071","-0.117013484","-0.14202005","-0.041268997","-0.20511916","-0.13720849","-0.14685419","-0.08498692","-0.18698278","0.02948719","0.06957436","-0.26009354","0.0028668311","-0.47960824","-0.50250643","-1.7400194","-1.0310633","-1.9286159","0.6557537","0.26050425","-2.0284755","1.1240616","1.1792816","0.6348378","-0.1911919","-0.8933702","0.13692343","0.38230973","1.9201373","-2.090609","-1.6297824","-0.9322614","1.55499","0.9240998","-0.5616692","1.1901505","0.24429254","1.5159854","1.1371142","-1.8144413","-0.15755951","1.3245311","0.71810436","-0.19131969","-1.1766216","-1.4622599","1.4722129","-1.0168946","0.6141575","-2.2848651","-0.56166005","-2.5517719","3.0356557","0.27745497","-0.109656","-0.23682624","4.168624","3.688141","0.74409103"
"Dry eye syndrome","1.2929962","-0.15296887","-0.11951696","0.042974465","0.020501947","-0.007001658","-0.061213356","-0.01091586","-0.11351568","-0.026056718","-0.12513292","-0.09626803","0.012880058","0.10744879","0.1697942","-0.15552825","-0.066961624","0.13855977","-0.20774962","-0.049671642","0.32465893","-0.9591916","0.045155503","0.69687593","0.28965962","0.44544283","0.72568136","-1.5000713","-2.1915803","2.6123774","-3.193923","-0.39086872","-1.9288795","-2.3173568","-1.821933","-0.2402605","-0.35970733","-0.3778844","2.325391","2.2502508","1.526212","0.7526755","0.5218797","-0.13620824","-2.2007535","2.7321603","0.14229916","0.41804993","-0.36189896","-3.357118","-1.007804","4.6995687","0.46240655","1.7418853","-0.7037371","-1.1759276","-1.4449006","-1.160099","-0.10780634","3.2787855","-2.1724072","2.4848716","-0.58507246","1.039263"
"E-smoking","1.2954109","-0.19684854","0.0033789733","0.058272913","-0.029401552","-0.020291496","-0.06702837","-0.07428969","-0.036470976","-0.100581","0.009757682","-0.049660906","-0.11634244","-0.2033876","-0.030942578","-0.1468599","0.07991035","0.10672746","-0.14731276","0.23990574","0.3440554","0.11017374","-0.8290391","0.7455721","1.6996784","0.19362365","0.7610122","0.48255712","0.12251282","-0.100255966","-2.1478965","-0.15623607","-0.29978362","-1.10013","0.16586423","-1.0093498","1.5773082","0.6343826","0.3260734","-1.3658143","-0.07866352","-1.5847133","1.2096591","-3.2356882","0.16301353","-1.118038","0.1490579","1.2634742","-1.4974949","0.010684494","1.0018619","1.3797059","2.119325","0.5818195","-1.2671585","-1.4763706","1.0744835","-0.762996","1.8086346","-3.4437296","2.302216","-1.0818185","-0.91837007","-1.1429232"
"Edentulism","1.0044857","-0.09374158","0.009916617","0.0014439143","0.021670414","-0.0021603047","-0.0054772245","0.36181694","-0.00272442","-0.16406","-0.00041395787","-0.12043908","0.018605007","-0.3188506","-0.06350693","0.09741075","-0.21020672","0.036092885","-0.9549197","0.03998318","1.445217","-0.90148133","-0.032658927","-0.2970421","1.0386417","1.5780902","1.0248194","-2.2895641","0.34723338","0.8891372","0.06403202","-2.534539","0.6757649","-1.2372209","1.7587978","0.9661123","-0.5703452","2.4590008","-1.3110245","-1.30097","7.841487","0.15802884","-2.2013986","0.86825496","0.25992817","3.52485","0.96780586","0.2723567","-2.929826","0.42337647","2.1813467","-0.1314827","1.0459926","-0.47974458","0.8865637","3.5272377","-0.9482949","1.822577","-0.18816821","-1.2894038","0.89064723","-1.4630053","3.0741138","-1.3478125"
"Endometrial cancer","1.3152539","-0.15287867","0.070536524","-0.115825675","-0.011660615","-0.018081862","-0.11122572","-0.050827954","0.012484982","-0.153245","-0.22737794","-0.20261337","-0.0085274745","0.1753699","-0.18727183","-0.0018605934","0.19999143","-0.09161898","-0.0021971632","-0.4267121","-0.2022407","-0.9175664","0.018550737","-1.5326866","-0.5228865","0.22149636","-1.6269387","-1.0261955","0.09947404","0.2575003","0.65348744","-0.1761978","-1.7560197","-0.93458486","1.1792772","0.9714991","0.5546181","0.48822373","0.2840255","-1.4719235","1.6208471","-0.7444507","0.60822576","0.045503754","1.2780125","1.6125592","1.6277971","1.3171676","-0.5984105","2.0821915","1.7045308","0.9890861","1.2327731","-3.321244","1.7795949","-0.13486218","-0.12821876","0.9262363","-1.0757618","-3.7622166","-1.1687778","-1.3829236","0.6712103","-1.8676893"
"Endometriosis","1.1341298","-0.13366105","-0.048153806","-0.0011539524","-0.02036947","-0.00339878","-0.063887484","-0.106494315","0.0016768251","-0.11876389","-0.062886104","-0.15078226","0.029939855","0.08221158","-0.025716856","-0.18048976","0.016473915","-0.1833168","0.13201076","-0.14767341","0.68051624","-0.54293513","2.0931876","-1.8983098","1.096206","0.8899603","-1.1381714","0.94466454","-0.9914268","1.5336963","0.7859023","1.7567548","-1.6760521","0.8369785","3.4358563","-0.3033607","-1.5514401","-0.94005","-1.1598091","-0.17546728","-3.2047575","-2.8771348","-0.066035554","1.7816967","-0.7083383","-1.8116153","2.2093618","0.06713763","-1.3188742","-0.36755368","-2.5002856","2.4130137","0.1447122","0.9177724","3.8894339","2.0311334","0.31771448","-0.09603521","0.281629","0.08342641","-0.0155085595","0.66215163","1.3863533","-0.61066633"
"Enthesitis related Arthritis","1.1322416","-0.4095917","-0.12802868","0.040994186","-0.0030700576","0.02661306","-0.13069072","-0.205115","-0.07190009","-0.09751578","-0.09934653","-0.22361395","-0.19922774","-0.49020046","-0.08763766","-0.4139062","-0.06455878","0.1643536","0.043240402","-0.23391053","0.03134747","-1.1345475","-0.9932041","0.97475135","0.6749428","0.8141813","0.63993686","1.2975652","0.9917075","-0.81659806","1.0326457","1.6860129","0.19365537","-1.4999905","1.5227029","0.3067425","-0.95270437","-0.26739758","-2.5849817","0.06741794","2.3498142","0.23979333","-1.1200829","-1.5226856","0.11900468","3.706769","1.9912287","-1.3299763","0.05004933","-1.7753519","0.10845765","1.2968581","0.6221781","-0.7624711","1.4253218","0.9849344","0.56455356","-2.0058548","-2.022443","1.5395172","-0.7900792","-0.8485486","0.26592612","-2.4117675"
"Enthesitis-related arthritis ","-0.8610144","-0.06204689","-0.022810645","0.0020611463","-0.0009565658","-0.00045902724","-0.018918822","-0.025630439","-0.0039312975","-0.018969087","-0.016530914","-0.035641547","-0.007943889","-0.0072050034","-0.013963499","-0.020377705","-0.010373334","-0.010835765","-0.016133092","-0.011339596","-0.011538723","-0.0045860168","-0.023036573","-0.014183245","-0.003153893","0.010902799","-0.006406742","-0.01712594","0.0009230043","-0.0017532083","-0.014034494","-0.0038970762","-0.009691642","0.00065829273","0.0020159772","-0.0066735","-0.0004295523","-0.0039763018","0.0055414047","0.0031142994","0.00020551936","-0.0045593185","0.00019011392","-0.0040777926","-0.0021466732","-0.0045848354","0.0016202849","-0.003749743","0.0003040471","-0.0030011972","0.00045753678","0.0034179133","-0.00023160408","-8.856923e-05","0.0009927604","-0.00262229","-0.0008311592","-0.0019204128","0.001693831","-0.0009724535","-0.0026840903","-0.0013402244","-0.0023038934","-0.000955738"
"Eosinophilic esophagitis","1.2101859","-0.04588997","-0.13979799","0.025416499","-0.011929695","-0.017850537","0.025150321","-0.10014649","0.055478025","-0.049462494","-0.06303242","-0.12330052","-0.034599733","0.04839764","-0.022652203","0.18841863","0.12542549","-0.2073596","-0.2683983","-0.17097351","0.15319385","1.4558772","0.03929634","0.53672016","0.677738","-0.20040073","-0.6349196","-1.6147531","0.68366784","-0.48468098","-0.27896565","-0.2255516","-1.1240169","2.726403","-2.3117268","-0.5867094","0.23343955","-1.1405345","-2.229436","2.9059725","-0.15874857","1.9044102","-1.5819877","-0.3931442","0.82037115","-1.2923981","-0.78698736","0.14381897","0.10057499","-0.93681276","0.57245487","1.2495724","-0.40922135","2.0653162","-1.5659461","-1.1727543","-1.7685158","-0.061564226","0.49019116","0.030404544","-0.35916594","-0.86727667","1.2470425","1.4385817"
"Esophageal cancer","1.3024335","-0.045016572","-0.16904776","0.008016307","0.06280044","-0.015688958","-0.035410505","-0.13006969","0.022802787","-0.051165897","-0.077928245","-0.013975907","-0.01721175","0.13593793","0.12804024","-0.15101005","0.01611668","0.07910216","0.042580612","0.25671184","-1.3464112","-0.36209777","-0.42385033","0.5047568","-2.494987","-0.3706311","1.2636517","0.16682702","-0.58634996","0.95015067","-0.70786536","0.9910026","1.519257","-0.35286626","0.28497767","1.340633","-0.17840423","1.0361807","0.5194872","0.3512359","-1.60189","-0.41038504","1.3646687","0.89511395","1.8377031","-1.6064664","2.746557","-0.45335713","2.5474055","-1.5148076","0.48701584","0.09169562","0.7594057","-0.31154773","0.3533697","-1.3086416","-1.1363254","2.6977828","-1.5540813","0.29369685","-1.3055528","0.58931893","-0.516421","-0.059410527"
