"disease","disease_peryton_author_svd64_000","disease_peryton_author_svd64_001","disease_peryton_author_svd64_002","disease_peryton_author_svd64_003","disease_peryton_author_svd64_004","disease_peryton_author_svd64_005","disease_peryton_author_svd64_006","disease_peryton_author_svd64_007","disease_peryton_author_svd64_008","disease_peryton_author_svd64_009","disease_peryton_author_svd64_010","disease_peryton_author_svd64_011","disease_peryton_author_svd64_012","disease_peryton_author_svd64_013","disease_peryton_author_svd64_014","disease_peryton_author_svd64_015","disease_peryton_author_svd64_016","disease_peryton_author_svd64_017","disease_peryton_author_svd64_018","disease_peryton_author_svd64_019","disease_peryton_author_svd64_020","disease_peryton_author_svd64_021","disease_peryton_author_svd64_022","disease_peryton_author_svd64_023","disease_peryton_author_svd64_024","disease_peryton_author_svd64_025","disease_peryton_author_svd64_026","disease_peryton_author_svd64_027","disease_peryton_author_svd64_028","disease_peryton_author_svd64_029","disease_peryton_author_svd64_030","disease_peryton_author_svd64_031","disease_peryton_author_svd64_032","disease_peryton_author_svd64_033","disease_peryton_author_svd64_034","disease_peryton_author_svd64_035","disease_peryton_author_svd64_036","disease_peryton_author_svd64_037","disease_peryton_author_svd64_038","disease_peryton_author_svd64_039","disease_peryton_author_svd64_040","disease_peryton_author_svd64_041","disease_peryton_author_svd64_042","disease_peryton_author_svd64_043","disease_peryton_author_svd64_044","disease_peryton_author_svd64_045","disease_peryton_author_svd64_046","disease_peryton_author_svd64_047","disease_peryton_author_svd64_048","disease_peryton_author_svd64_049","disease_peryton_author_svd64_050","disease_peryton_author_svd64_051","disease_peryton_author_svd64_052","disease_peryton_author_svd64_053","disease_peryton_author_svd64_054","disease_peryton_author_svd64_055","disease_peryton_author_svd64_056","disease_peryton_author_svd64_057","disease_peryton_author_svd64_058","disease_peryton_author_svd64_059","disease_peryton_author_svd64_060","disease_peryton_author_svd64_061","disease_peryton_author_svd64_062","disease_peryton_author_svd64_063"
"Chronic granulomatous disease","-0.15311743","-0.006689525","-0.027291033","0.0012765183","-0.02442467","-0.0064697242","-0.01316582","-0.0007020722","-0.005387479","-7.5545504e-05","1.3969154e-05","-0.008930601","-0.0058702943","0.0009144299","-0.002191905","0.00068072375","0.004769958","-0.0026594377","0.0012356257","-0.0005457685","-0.0064956485","-0.06711237","-0.00035602483","0.0015081523","0.00028825126","0.0019035364","-0.0019369373","-0.0018442923","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","-0.0046900064","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Chronic kidney disease","-0.15311743","-0.006689525","-0.027291033","0.0012765183","-0.02442467","-0.0064697242","-0.01316582","-0.0007020722","-0.005387479","-7.5545504e-05","1.3969154e-05","-0.008930601","-0.0058702943","0.0009144299","-0.002191905","0.00068072375","0.004769958","-0.0026594377","0.0012356257","-0.0005457685","-0.0064956485","-0.06711237","-0.00035602483","0.0015081523","0.00028825126","0.0019035364","-0.0019369373","-0.0018442923","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","-0.0046900064","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Chronic liver disease","-0.15311743","-0.006689525","-0.027291033","0.0012765183","-0.02442467","-0.0064697242","-0.01316582","-0.0007020722","-0.005387479","-7.5545504e-05","1.3969154e-05","-0.008930601","-0.0058702943","0.0009144299","-0.002191905","0.00068072375","0.004769958","-0.0026594377","0.0012356257","-0.0005457685","-0.0064956485","-0.06711237","-0.00035602483","0.0015081523","0.00028825126","0.0019035364","-0.0019369373","-0.0018442923","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","-0.0046900064","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Chronic lung disease","-0.15311743","-0.006689525","-0.027291033","0.0012765183","-0.02442467","-0.0064697242","-0.01316582","-0.0007020722","-0.005387479","-7.5545504e-05","1.3969154e-05","-0.008930601","-0.0058702943","0.0009144299","-0.002191905","0.00068072375","0.004769958","-0.0026594377","0.0012356257","-0.0005457685","-0.0064956485","-0.06711237","-0.00035602483","0.0015081523","0.00028825126","0.0019035364","-0.0019369373","-0.0018442923","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","-0.0046900064","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Chronic mucocutaneous candidiasis","-0.15311743","-0.006689525","-0.027291033","0.0012765183","-0.02442467","-0.0064697242","-0.01316582","-0.0007020722","-0.005387479","-7.5545504e-05","1.3969154e-05","-0.008930601","-0.0058702943","0.0009144299","-0.002191905","0.00068072375","0.004769958","-0.0026594377","0.0012356257","-0.0005457685","-0.0064956485","-0.06711237","-0.00035602483","0.0015081523","0.00028825126","0.0019035364","-0.0019369373","-0.0018442923","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","-0.0046900064","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Chronic ocular graft-versus-host disease","-0.15311743","-0.006689525","-0.027291033","0.0012765183","-0.02442467","-0.0064697242","-0.01316582","-0.0007020722","-0.005387479","-7.5545504e-05","1.3969154e-05","-0.008930601","-0.0058702943","0.0009144299","-0.002191905","0.00068072375","0.004769958","-0.0026594377","0.0012356257","-0.0005457685","-0.0064956485","-0.06711237","-0.00035602483","0.0015081523","0.00028825126","0.0019035364","-0.0019369373","-0.0018442923","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","-0.0046900064","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Chronic pancreatitis","-0.15311743","-0.006689525","-0.027291033","0.0012765183","-0.02442467","-0.0064697242","-0.01316582","-0.0007020722","-0.005387479","-7.5545504e-05","1.3969154e-05","-0.008930601","-0.0058702943","0.0009144299","-0.002191905","0.00068072375","0.004769958","-0.0026594377","0.0012356257","-0.0005457685","-0.0064956485","-0.06711237","-0.00035602483","0.0015081523","0.00028825126","0.0019035364","-0.0019369373","-0.0018442923","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","-0.0046900064","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Chronic prostatitis / Chronic pelvic pain syndrome","-0.15311743","-0.006689525","-0.027291033","0.0012765183","-0.02442467","-0.0064697242","-0.01316582","-0.0007020722","-0.005387479","-7.5545504e-05","1.3969154e-05","-0.008930601","-0.0058702943","0.0009144299","-0.002191905","0.00068072375","0.004769958","-0.0026594377","0.0012356257","-0.0005457685","-0.0064956485","-0.06711237","-0.00035602483","0.0015081523","0.00028825126","0.0019035364","-0.0019369373","-0.0018442923","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","-0.0046900064","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Chronic rhinosinusitis with nasal polyps","-0.15311743","-0.006689525","-0.027291033","0.0012765183","-0.02442467","-0.0064697242","-0.01316582","-0.0007020722","-0.005387479","-7.5545504e-05","1.3969154e-05","-0.008930601","-0.0058702943","0.0009144299","-0.002191905","0.00068072375","0.004769958","-0.0026594377","0.0012356257","-0.0005457685","-0.0064956485","-0.06711237","-0.00035602483","0.0015081523","0.00028825126","0.0019035364","-0.0019369373","-0.0018442923","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","-0.0046900064","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Chronic stress","-0.15311743","-0.006689525","-0.027291033","0.0012765183","-0.02442467","-0.0064697242","-0.01316582","-0.0007020722","-0.005387479","-7.5545504e-05","1.3969154e-05","-0.008930601","-0.0058702943","0.0009144299","-0.002191905","0.00068072375","0.004769958","-0.0026594377","0.0012356257","-0.0005457685","-0.0064956485","-0.06711237","-0.00035602483","0.0015081523","0.00028825126","0.0019035364","-0.0019369373","-0.0018442923","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","-0.0046900064","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Chronic urticaria","-0.15311743","-0.006689525","-0.027291033","0.0012765183","-0.02442467","-0.0064697242","-0.01316582","-0.0007020722","-0.005387479","-7.5545504e-05","1.3969154e-05","-0.008930601","-0.0058702943","0.0009144299","-0.002191905","0.00068072375","0.004769958","-0.0026594377","0.0012356257","-0.0005457685","-0.0064956485","-0.06711237","-0.00035602483","0.0015081523","0.00028825126","0.0019035364","-0.0019369373","-0.0018442923","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","-0.0046900064","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Cirrhosis","-0.15311743","-0.006689525","-0.027291033","0.0012765183","-0.02442467","-0.0064697242","-0.01316582","-0.0007020722","-0.005387479","-7.5545504e-05","1.3969154e-05","-0.008930601","-0.0058702943","0.0009144299","-0.002191905","0.00068072375","0.004769958","-0.0026594377","0.0012356257","-0.0005457685","-0.0064956485","-0.06711237","-0.00035602483","0.0015081523","0.00028825126","0.0019035364","-0.0019369373","-0.0018442923","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","-0.0046900064","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Cirrhosis with pneumonia","-0.15311743","-0.006689525","-0.027291033","0.0012765183","-0.02442467","-0.0064697242","-0.01316582","-0.0007020722","-0.005387479","-7.5545504e-05","1.3969154e-05","-0.008930601","-0.0058702943","0.0009144299","-0.002191905","0.00068072375","0.004769958","-0.0026594377","0.0012356257","-0.0005457685","-0.0064956485","-0.06711237","-0.00035602483","0.0015081523","0.00028825126","0.0019035364","-0.0019369373","-0.0018442923","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","-0.0046900064","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Cleft palate","-0.15311743","-0.006689525","-0.027291033","0.0012765183","-0.02442467","-0.0064697242","-0.01316582","-0.0007020722","-0.005387479","-7.5545504e-05","1.3969154e-05","-0.008930601","-0.0058702943","0.0009144299","-0.002191905","0.00068072375","0.004769958","-0.0026594377","0.0012356257","-0.0005457685","-0.0064956485","-0.06711237","-0.00035602483","0.0015081523","0.00028825126","0.0019035364","-0.0019369373","-0.0018442923","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","-0.0046900064","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Clonorchis sinensis infection","-0.15311743","-0.006689525","-0.027291033","0.0012765183","-0.02442467","-0.0064697242","-0.01316582","-0.0007020722","-0.005387479","-7.5545504e-05","1.3969154e-05","-0.008930601","-0.0058702943","0.0009144299","-0.002191905","0.00068072375","0.004769958","-0.0026594377","0.0012356257","-0.0005457685","-0.0064956485","-0.06711237","-0.00035602483","0.0015081523","0.00028825126","0.0019035364","-0.0019369373","-0.0018442923","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","-0.0046900064","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Clostridium difficile associated disease","-0.15311743","-0.006689525","-0.027291033","0.0012765183","-0.02442467","-0.0064697242","-0.01316582","-0.0007020722","-0.005387479","-7.5545504e-05","1.3969154e-05","-0.008930601","-0.0058702943","0.0009144299","-0.002191905","0.00068072375","0.004769958","-0.0026594377","0.0012356257","-0.0005457685","-0.0064956485","-0.06711237","-0.00035602483","0.0015081523","0.00028825126","0.0019035364","-0.0019369373","-0.0018442923","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","-0.0046900064","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Clostridium difficile infection","-0.15311743","-0.006689525","-0.027291033","0.0012765183","-0.02442467","-0.0064697242","-0.01316582","-0.0007020722","-0.005387479","-7.5545504e-05","1.3969154e-05","-0.008930601","-0.0058702943","0.0009144299","-0.002191905","0.00068072375","0.004769958","-0.0026594377","0.0012356257","-0.0005457685","-0.0064956485","-0.06711237","-0.00035602483","0.0015081523","0.00028825126","0.0019035364","-0.0019369373","-0.0018442923","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","-0.0046900064","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Clostridium difficile infection(CDI)","-0.15311743","-0.006689525","-0.027291033","0.0012765183","-0.02442467","-0.0064697242","-0.01316582","-0.0007020722","-0.005387479","-7.5545504e-05","1.3969154e-05","-0.008930601","-0.0058702943","0.0009144299","-0.002191905","0.00068072375","0.004769958","-0.0026594377","0.0012356257","-0.0005457685","-0.0064956485","-0.06711237","-0.00035602483","0.0015081523","0.00028825126","0.0019035364","-0.0019369373","-0.0018442923","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","-0.0046900064","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Clostridium difficile infections","-0.15311743","-0.006689525","-0.027291033","0.0012765183","-0.02442467","-0.0064697242","-0.01316582","-0.0007020722","-0.005387479","-7.5545504e-05","1.3969154e-05","-0.008930601","-0.0058702943","0.0009144299","-0.002191905","0.00068072375","0.004769958","-0.0026594377","0.0012356257","-0.0005457685","-0.0064956485","-0.06711237","-0.00035602483","0.0015081523","0.00028825126","0.0019035364","-0.0019369373","-0.0018442923","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","-0.0046900064","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Clostrium difficile-related diarrhea","-0.15311743","-0.006689525","-0.027291033","0.0012765183","-0.02442467","-0.0064697242","-0.01316582","-0.0007020722","-0.005387479","-7.5545504e-05","1.3969154e-05","-0.008930601","-0.0058702943","0.0009144299","-0.002191905","0.00068072375","0.004769958","-0.0026594377","0.0012356257","-0.0005457685","-0.0064956485","-0.06711237","-0.00035602483","0.0015081523","0.00028825126","0.0019035364","-0.0019369373","-0.0018442923","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","-0.0046900064","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Coeliac disease","-0.15311743","-0.006689525","-0.027291033","0.0012765183","-0.02442467","-0.0064697242","-0.01316582","-0.0007020722","-0.005387479","-7.5545504e-05","1.3969154e-05","-0.008930601","-0.0058702943","0.0009144299","-0.002191905","0.00068072375","0.004769958","-0.0026594377","0.0012356257","-0.0005457685","-0.0064956485","-0.06711237","-0.00035602483","0.0015081523","0.00028825126","0.0019035364","-0.0019369373","-0.0018442923","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","-0.0046900064","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Cognitive impairment","-0.15311743","-0.006689525","-0.027291033","0.0012765183","-0.02442467","-0.0064697242","-0.01316582","-0.0007020722","-0.005387479","-7.5545504e-05","1.3969154e-05","-0.008930601","-0.0058702943","0.0009144299","-0.002191905","0.00068072375","0.004769958","-0.0026594377","0.0012356257","-0.0005457685","-0.0064956485","-0.06711237","-0.00035602483","0.0015081523","0.00028825126","0.0019035364","-0.0019369373","-0.0018442923","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","-0.0046900064","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Collagenous colitis","-0.15311743","-0.006689525","-0.027291033","0.0012765183","-0.02442467","-0.0064697242","-0.01316582","-0.0007020722","-0.005387479","-7.5545504e-05","1.3969154e-05","-0.008930601","-0.0058702943","0.0009144299","-0.002191905","0.00068072375","0.004769958","-0.0026594377","0.0012356257","-0.0005457685","-0.0064956485","-0.06711237","-0.00035602483","0.0015081523","0.00028825126","0.0019035364","-0.0019369373","-0.0018442923","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","-0.0046900064","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Colon adenomas","-0.15311743","-0.006689525","-0.027291033","0.0012765183","-0.02442467","-0.0064697242","-0.01316582","-0.0007020722","-0.005387479","-7.5545504e-05","1.3969154e-05","-0.008930601","-0.0058702943","0.0009144299","-0.002191905","0.00068072375","0.004769958","-0.0026594377","0.0012356257","-0.0005457685","-0.0064956485","-0.06711237","-0.00035602483","0.0015081523","0.00028825126","0.0019035364","-0.0019369373","-0.0018442923","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","-0.0046900064","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Colon cancer","-0.15311743","-0.006689525","-0.027291033","0.0012765183","-0.02442467","-0.0064697242","-0.01316582","-0.0007020722","-0.005387479","-7.5545504e-05","1.3969154e-05","-0.008930601","-0.0058702943","0.0009144299","-0.002191905","0.00068072375","0.004769958","-0.0026594377","0.0012356257","-0.0005457685","-0.0064956485","-0.06711237","-0.00035602483","0.0015081523","0.00028825126","0.0019035364","-0.0019369373","-0.0018442923","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","-0.0046900064","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Colon polyps","-0.15311743","-0.006689525","-0.027291033","0.0012765183","-0.02442467","-0.0064697242","-0.01316582","-0.0007020722","-0.005387479","-7.5545504e-05","1.3969154e-05","-0.008930601","-0.0058702943","0.0009144299","-0.002191905","0.00068072375","0.004769958","-0.0026594377","0.0012356257","-0.0005457685","-0.0064956485","-0.06711237","-0.00035602483","0.0015081523","0.00028825126","0.0019035364","-0.0019369373","-0.0018442923","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","-0.0046900064","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Colorectal cancer","-0.15311743","-0.006689525","-0.027291033","0.0012765183","-0.02442467","-0.0064697242","-0.01316582","-0.0007020722","-0.005387479","-7.5545504e-05","1.3969154e-05","-0.008930601","-0.0058702943","0.0009144299","-0.002191905","0.00068072375","0.004769958","-0.0026594377","0.0012356257","-0.0005457685","-0.0064956485","-0.06711237","-0.00035602483","0.0015081523","0.00028825126","0.0019035364","-0.0019369373","-0.0018442923","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","-0.0046900064","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Colorectal carcinoma","-0.15311743","-0.006689525","-0.027291033","0.0012765183","-0.02442467","-0.0064697242","-0.01316582","-0.0007020722","-0.005387479","-7.5545504e-05","1.3969154e-05","-0.008930601","-0.0058702943","0.0009144299","-0.002191905","0.00068072375","0.004769958","-0.0026594377","0.0012356257","-0.0005457685","-0.0064956485","-0.06711237","-0.00035602483","0.0015081523","0.00028825126","0.0019035364","-0.0019369373","-0.0018442923","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","-0.0046900064","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Common Variable Immunodeficieny","-0.15311743","-0.006689525","-0.027291033","0.0012765183","-0.02442467","-0.0064697242","-0.01316582","-0.0007020722","-0.005387479","-7.5545504e-05","1.3969154e-05","-0.008930601","-0.0058702943","0.0009144299","-0.002191905","0.00068072375","0.004769958","-0.0026594377","0.0012356257","-0.0005457685","-0.0064956485","-0.06711237","-0.00035602483","0.0015081523","0.00028825126","0.0019035364","-0.0019369373","-0.0018442923","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","-0.0046900064","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Common variable immunodeficiency","-0.15311743","-0.006689525","-0.027291033","0.0012765183","-0.02442467","-0.0064697242","-0.01316582","-0.0007020722","-0.005387479","-7.5545504e-05","1.3969154e-05","-0.008930601","-0.0058702943","0.0009144299","-0.002191905","0.00068072375","0.004769958","-0.0026594377","0.0012356257","-0.0005457685","-0.0064956485","-0.06711237","-0.00035602483","0.0015081523","0.00028825126","0.0019035364","-0.0019369373","-0.0018442923","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","-0.0046900064","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Conjunctival scarring","-0.15311743","-0.006689525","-0.027291033","0.0012765183","-0.02442467","-0.0064697242","-0.01316582","-0.0007020722","-0.005387479","-7.5545504e-05","1.3969154e-05","-0.008930601","-0.0058702943","0.0009144299","-0.002191905","0.00068072375","0.004769958","-0.0026594377","0.0012356257","-0.0005457685","-0.0064956485","-0.06711237","-0.00035602483","0.0015081523","0.00028825126","0.0019035364","-0.0019369373","-0.0018442923","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","-0.0046900064","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Constipation","4.922745","-2.6376772","0.3356096","-4.0461764","4.4724603","-0.53841907","6.631414","-3.4885654","5.500175","-10.899541","19.896425","4.815843","-6.363159","-6.367824","4.0570273","-0.17574333","1.8725818","3.428447","-1.369871","1.3083556","5.4558897","0.6203818","3.7536118","-17.989372","19.299599","8.881329","1.2446939","16.69109","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2.1978648","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Constipation Irritable bowel syndrome(IBS)","-0.15311743","-0.006689525","-0.027291033","0.0012765183","-0.02442467","-0.0064697242","-0.01316582","-0.0007020722","-0.005387479","-7.5545504e-05","1.3969154e-05","-0.008930601","-0.0058702943","0.0009144299","-0.002191905","0.00068072375","0.004769958","-0.0026594377","0.0012356257","-0.0005457685","-0.0064956485","-0.06711237","-0.00035602483","0.0015081523","0.00028825126","0.0019035364","-0.0019369373","-0.0018442923","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","-0.0046900064","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Coronary Heart Disease","7.5820065","-0.10967534","-0.6247035","-2.1874733","-2.9150376","-3.8143566","-2.5679903","-0.7777165","-5.7186275","-6.6668677","-4.7375817","-1.9595131","3.0676308","2.7879663","17.112541","0.6958226","4.3572764","-5.99489","-15.723032","-0.5946064","9.296676","-5.1969776","15.250252","7.1620398","-6.835509","12.592268","7.9958773","9.013883","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","3.0181837","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Coronary artery disease","7.6847715","-1.9902545","-0.7130523","-1.5571133","-3.9352596","-3.090781","-4.0809355","3.4439473","-7.4949665","-1.2154894","0.9461559","0.5107579","2.8292093","-2.3509798","9.915728","12.068066","-8.108307","2.7868314","16.876852","3.9054573","-0.24485832","6.381134","1.7272208","-2.0304236","-0.3066119","3.392372","13.967264","8.65213","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","-7.414253","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
